Deal_ID,Region,Customer_Segment,Deal_Stage,Lead_Source,Engagement_Score,Deal_Creation_Date,Deal_Closure_Date,Deal_Size,MRR,ARR,Salesperson
OPP-16,EMEA,Enterprise,Closed Lost,Event,1.1,2023-04-28,2024-07-31,71746.86,5978.9,71746.86,EMEA-Enterprise-3
OPP-17,EMEA,Enterprise,Proposal Sent,Inbound,2.42,2023-01-04,,86115.92,7176.33,86115.92,EMEA-Enterprise-2
OPP-18,EMEA,Enterprise,Qualified,Outbound,2.61,2023-04-19,,92551.18,7712.6,92551.18,EMEA-Enterprise-1
OPP-19,EMEA,Enterprise,Negotiation,Partner,2.38,2023-06-15,2023-02-02,57906.69,4825.56,57906.69,EMEA-Enterprise-3
OPP-20,EMEA,Enterprise,Proposal Sent,Inbound,4.27,2023-11-11,2024-06-08,75936.68,6328.06,75936.68,EMEA-Enterprise-1
OPP-21,EMEA,Enterprise,Closed Won,Inbound,5.37,2023-03-12,,92680.58,7723.38,92680.58,EMEA-Enterprise-1
OPP-22,EMEA,Enterprise,Qualified,Partner,9.52,2023-06-19,2025-06-16,71962.37,5996.86,71962.37,EMEA-Enterprise-3
OPP-23,EMEA,Enterprise,Closed Won,Event,7.21,2024-12-31,2025-03-06,97861.77,8155.15,97861.77,EMEA-Enterprise-1
OPP-24,EMEA,Enterprise,Proposal Sent,Inbound,3.02,2023-12-13,2024-05-17,66286.01,5523.83,66286.01,EMEA-Enterprise-2
OPP-25,EMEA,Enterprise,Qualified,Partner,1.53,2023-03-11,,75306.41,6275.53,75306.41,EMEA-Enterprise-3
OPP-26,EMEA,Enterprise,Qualified,Inbound,7.02,2023-08-08,2025-09-26,91578.12,7631.51,91578.12,EMEA-Enterprise-3
OPP-27,EMEA,Enterprise,Proposal Sent,Outbound,1.85,2024-11-05,2025-06-17,54579.83,4548.32,54579.83,EMEA-Enterprise-1
OPP-28,EMEA,Enterprise,Closed Won,Inbound,6.88,2024-10-23,2025-05-05,64666.14,5388.85,64666.14,EMEA-Enterprise-1
OPP-29,EMEA,Enterprise,Closed Won,Inbound,2.72,2024-07-03,2025-06-14,83692.82,6974.4,83692.82,EMEA-Enterprise-1
OPP-30,EMEA,Enterprise,Proposal Sent,Event,1.68,2024-07-17,2023-03-03,51009.28,4250.77,51009.28,EMEA-Enterprise-2
OPP-31,EMEA,Enterprise,Closed Won,Event,2.5,2024-05-12,2025-05-02,98139.78,8178.31,98139.78,EMEA-Enterprise-1
OPP-32,EMEA,Enterprise,Qualified,Inbound,4.51,2024-04-10,2025-10-24,94146.57,7845.55,94146.57,EMEA-Enterprise-1
OPP-33,EMEA,Enterprise,Qualified,Marketing Campaign,6.21,2024-07-09,2024-11-04,49287.81,4107.32,49287.81,EMEA-Enterprise-1
OPP-34,EMEA,Enterprise,Proposal Sent,Outbound,8.67,2023-06-11,2025-12-07,43429.92,3619.16,43429.92,EMEA-Enterprise-3
OPP-35,EMEA,Enterprise,Qualified,Outbound,7.08,2023-08-29,2024-06-19,44806.69,3733.89,44806.69,EMEA-Enterprise-2
OPP-36,EMEA,Enterprise,Qualified,Inbound,6.92,2024-08-01,2024-07-19,74735.14,6227.93,74735.14,EMEA-Enterprise-3
OPP-37,EMEA,Enterprise,Negotiation,Inbound,4.56,2024-11-18,2025-08-25,52255.55,4354.63,52255.55,EMEA-Enterprise-2
OPP-38,EMEA,Enterprise,Negotiation,Inbound,5.12,2024-07-30,,58970.63,4914.22,58970.63,EMEA-Enterprise-3
OPP-39,EMEA,Enterprise,Qualified,Inbound,9.4,2023-03-12,,44395.64,3699.64,44395.64,EMEA-Enterprise-3
OPP-40,EMEA,Enterprise,Qualified,Event,7.33,2024-09-18,,62171.63,5180.97,62171.63,EMEA-Enterprise-1
OPP-41,EMEA,Enterprise,Proposal Sent,Partner,5.99,2024-11-10,2023-11-03,88426.0,7368.83,88426.0,EMEA-Enterprise-1
OPP-42,EMEA,Enterprise,Closed Won,Partner,2.4,2023-10-16,2025-01-03,55867.96,4655.66,55867.96,EMEA-Enterprise-2
OPP-43,EMEA,Enterprise,Negotiation,Inbound,5.4,2023-02-22,2025-06-17,52215.84,4351.32,52215.84,EMEA-Enterprise-1
OPP-44,EMEA,Enterprise,Qualified,Inbound,2.18,2023-09-26,2025-07-24,89760.89,7480.07,89760.89,EMEA-Enterprise-1
OPP-45,EMEA,Enterprise,Proposal Sent,Inbound,1.68,2024-12-08,,73100.83,6091.74,73100.83,EMEA-Enterprise-3
OPP-46,EMEA,Enterprise,Closed Won,Outbound,2.33,2023-05-11,2025-02-16,72735.42,6061.28,72735.42,EMEA-Enterprise-2
OPP-47,EMEA,Enterprise,Negotiation,Event,9.09,2023-08-04,2023-08-30,93938.89,7828.24,93938.89,EMEA-Enterprise-3
OPP-48,EMEA,Enterprise,Proposal Sent,Event,9.76,2023-06-08,,61220.72,5101.73,61220.72,EMEA-Enterprise-3
OPP-49,EMEA,Enterprise,Qualified,Event,2.59,2024-02-27,2024-12-12,54204.24,4517.02,54204.24,EMEA-Enterprise-1
OPP-50,EMEA,Enterprise,Proposal Sent,Partner,7.62,2023-09-12,2023-09-10,86943.19,7245.27,86943.19,EMEA-Enterprise-2
OPP-51,EMEA,Enterprise,Qualified,Outbound,2.8,2024-04-16,2024-05-12,62952.5,5246.04,62952.5,EMEA-Enterprise-3
OPP-52,EMEA,Enterprise,Negotiation,Outbound,3.51,2023-03-13,,53375.41,4447.95,53375.41,EMEA-Enterprise-3
OPP-53,EMEA,Enterprise,Negotiation,Outbound,9.83,2024-07-03,2023-03-29,56747.5,4728.96,56747.5,EMEA-Enterprise-1
OPP-54,EMEA,Enterprise,Closed Lost,Inbound,9.66,2023-09-29,2025-07-09,46920.51,3910.04,46920.51,EMEA-Enterprise-2
OPP-55,EMEA,Enterprise,Negotiation,Outbound,9.86,2023-04-29,2024-02-25,60741.23,5061.77,60741.23,EMEA-Enterprise-2
OPP-56,EMEA,Enterprise,Negotiation,Inbound,9.33,2024-07-05,2024-03-10,55283.35,4606.95,55283.35,EMEA-Enterprise-2
OPP-57,EMEA,Enterprise,Qualified,Partner,3.97,2023-11-18,2023-10-14,61853.29,5154.44,61853.29,EMEA-Enterprise-3
OPP-58,EMEA,Enterprise,Proposal Sent,Inbound,4.68,2024-02-17,2023-10-19,83185.26,6932.1,83185.26,EMEA-Enterprise-1
OPP-59,EMEA,Enterprise,Negotiation,Outbound,7.73,2023-06-28,2024-10-09,51510.41,4292.53,51510.41,EMEA-Enterprise-3
OPP-60,EMEA,Enterprise,Closed Won,Inbound,2.89,2024-08-16,2024-11-21,64364.51,5363.71,64364.51,EMEA-Enterprise-3
OPP-61,EMEA,Enterprise,Proposal Sent,Inbound,5.26,2023-06-23,2024-09-04,67899.29,5658.27,67899.29,EMEA-Enterprise-3
OPP-62,EMEA,Enterprise,Negotiation,Inbound,8.37,2023-08-29,2024-05-06,70927.12,5910.59,70927.12,EMEA-Enterprise-2
OPP-63,EMEA,Enterprise,Qualified,Inbound,9.86,2024-09-17,,88393.77,7366.15,88393.77,EMEA-Enterprise-2
OPP-64,EMEA,Enterprise,Proposal Sent,Partner,2.75,2024-12-14,2025-04-29,44369.69,3697.47,44369.69,EMEA-Enterprise-3
OPP-65,EMEA,Enterprise,Negotiation,Inbound,7.76,2023-04-20,,54639.07,4553.26,54639.07,EMEA-Enterprise-3
OPP-66,EMEA,Enterprise,Closed Won,Partner,5.18,2024-07-24,2023-10-07,53130.47,4427.54,53130.47,EMEA-Enterprise-1
OPP-67,EMEA,Enterprise,Closed Won,Partner,9.89,2024-09-01,2025-07-26,67387.71,5615.64,67387.71,EMEA-Enterprise-1
OPP-68,EMEA,Enterprise,Negotiation,Outbound,8.48,2024-07-15,2023-12-23,76759.14,6396.6,76759.14,EMEA-Enterprise-3
OPP-69,EMEA,Enterprise,Proposal Sent,Inbound,3.23,2024-10-14,2025-10-20,84619.33,7051.61,84619.33,EMEA-Enterprise-3
OPP-70,EMEA,Enterprise,Qualified,Inbound,3.57,2023-10-06,2023-07-16,77604.91,6467.08,77604.91,EMEA-Enterprise-1
OPP-71,EMEA,Enterprise,Qualified,Partner,7.36,2023-03-07,2024-12-09,48302.44,4025.2,48302.44,EMEA-Enterprise-2
OPP-72,EMEA,Enterprise,Proposal Sent,Inbound,4.78,2024-08-21,,72556.67,6046.39,72556.67,EMEA-Enterprise-1
OPP-73,EMEA,Enterprise,Closed Won,Outbound,5.29,2023-12-27,2025-04-09,41171.92,3430.99,41171.92,EMEA-Enterprise-1
OPP-74,EMEA,Enterprise,Closed Lost,Outbound,7.73,2024-07-13,,91206.88,7600.57,91206.88,EMEA-Enterprise-1
OPP-75,EMEA,Enterprise,Proposal Sent,Inbound,5.37,2024-02-03,2025-05-09,93868.68,7822.39,93868.68,EMEA-Enterprise-2
OPP-76,EMEA,Enterprise,Closed Won,Marketing Campaign,9.83,2024-06-30,2025-04-17,83450.88,6954.24,83450.88,EMEA-Enterprise-3
OPP-77,EMEA,Enterprise,Negotiation,Inbound,4.86,2024-04-17,2024-07-17,75513.57,6292.8,75513.57,EMEA-Enterprise-1
OPP-78,EMEA,Enterprise,Qualified,Inbound,7.85,2024-01-24,2025-06-13,62746.23,5228.85,62746.23,EMEA-Enterprise-1
OPP-79,EMEA,Enterprise,Qualified,Inbound,5.85,2023-12-25,2023-06-21,55136.29,4594.69,55136.29,EMEA-Enterprise-2
OPP-80,EMEA,Enterprise,Negotiation,Event,9.55,2023-07-24,,86873.98,7239.5,86873.98,EMEA-Enterprise-1
OPP-81,EMEA,Enterprise,Qualified,Outbound,2.03,2023-08-12,2024-07-09,77280.14,6440.01,77280.14,EMEA-Enterprise-2
OPP-82,EMEA,Enterprise,Qualified,Partner,7.73,2023-04-28,,86013.89,7167.82,86013.89,EMEA-Enterprise-3
OPP-83,EMEA,Enterprise,Proposal Sent,Outbound,9.36,2024-08-12,2025-03-10,49825.95,4152.16,49825.95,EMEA-Enterprise-1
OPP-84,EMEA,Enterprise,Negotiation,Inbound,7.22,2024-10-04,2024-10-10,63799.27,5316.61,63799.27,EMEA-Enterprise-2
OPP-85,EMEA,Enterprise,Negotiation,Inbound,9.85,2023-02-12,2025-06-27,91017.59,7584.8,91017.59,EMEA-Enterprise-3
OPP-86,EMEA,Enterprise,Qualified,Partner,1.11,2024-03-06,,79691.28,6640.94,79691.28,EMEA-Enterprise-2
OPP-87,EMEA,Enterprise,Closed Lost,Partner,8.46,2024-12-25,2024-01-27,46332.33,3861.03,46332.33,EMEA-Enterprise-2
OPP-88,EMEA,Enterprise,Closed Lost,Inbound,8.27,2024-07-05,,84027.72,7002.31,84027.72,EMEA-Enterprise-3
OPP-89,EMEA,Enterprise,Closed Won,Outbound,3.9,2023-09-09,,67892.43,5657.7,67892.43,EMEA-Enterprise-2
OPP-90,EMEA,Enterprise,Closed Won,Inbound,5.18,2024-09-16,2024-12-20,45199.77,3766.65,45199.77,EMEA-Enterprise-1
OPP-91,EMEA,Enterprise,Closed Won,Inbound,2.91,2023-09-22,2024-08-19,41722.0,3476.83,41722.0,EMEA-Enterprise-2
OPP-92,EMEA,Enterprise,Proposal Sent,Inbound,3.17,2024-02-21,2024-06-07,73347.46,6112.29,73347.46,EMEA-Enterprise-2
OPP-93,EMEA,Enterprise,Negotiation,Outbound,8.14,2023-04-06,2025-05-09,81436.56,6786.38,81436.56,EMEA-Enterprise-2
OPP-94,EMEA,Enterprise,Proposal Sent,Outbound,5.26,2024-06-27,2024-12-09,81507.23,6792.27,81507.23,EMEA-Enterprise-2
OPP-95,EMEA,Enterprise,Proposal Sent,Inbound,3.07,2023-07-17,2024-02-15,61108.63,5092.39,61108.63,EMEA-Enterprise-2
OPP-96,EMEA,Enterprise,Negotiation,Inbound,6.31,2024-06-21,2023-08-25,51492.46,4291.04,51492.46,EMEA-Enterprise-1
OPP-97,EMEA,Enterprise,Qualified,Outbound,3.72,2024-12-26,2024-08-15,89957.7,7496.47,89957.7,EMEA-Enterprise-2
OPP-98,EMEA,Enterprise,Qualified,Inbound,9.5,2024-10-15,,42730.94,3560.91,42730.94,EMEA-Enterprise-1
OPP-99,EMEA,Enterprise,Closed Won,Outbound,5.22,2024-03-27,2023-05-17,69452.72,5787.73,69452.72,EMEA-Enterprise-3
OPP-100,EMEA,Enterprise,Closed Won,Inbound,1.59,2024-05-18,2023-05-21,55148.7,4595.72,55148.7,EMEA-Enterprise-1
OPP-101,EMEA,Enterprise,Closed Won,Marketing Campaign,1.77,2023-09-12,2025-06-02,49103.62,4091.97,49103.62,EMEA-Enterprise-2
OPP-102,EMEA,Enterprise,Negotiation,Inbound,5.7,2024-04-06,,76379.06,6364.92,76379.06,EMEA-Enterprise-1
OPP-103,EMEA,Enterprise,Proposal Sent,Outbound,6.12,2023-03-03,2023-08-23,57841.19,4820.1,57841.19,EMEA-Enterprise-3
OPP-104,EMEA,Enterprise,Qualified,Inbound,6.94,2023-06-10,2023-07-04,96855.41,8071.28,96855.41,EMEA-Enterprise-2
OPP-105,EMEA,Enterprise,Proposal Sent,Partner,5.23,2023-02-03,2024-09-02,49391.96,4116.0,49391.96,EMEA-Enterprise-2
OPP-106,EMEA,Enterprise,Proposal Sent,Partner,9.32,2024-10-02,2024-03-12,82179.25,6848.27,82179.25,EMEA-Enterprise-2
OPP-107,EMEA,Enterprise,Proposal Sent,Partner,9.18,2023-05-26,2024-01-06,65508.34,5459.03,65508.34,EMEA-Enterprise-3
OPP-108,EMEA,Enterprise,Proposal Sent,Event,9.29,2024-03-25,2024-10-15,87557.71,7296.48,87557.71,EMEA-Enterprise-2
OPP-109,EMEA,Enterprise,Closed Won,Outbound,5.44,2023-03-24,2025-07-04,81984.02,6832.0,81984.02,EMEA-Enterprise-3
OPP-110,EMEA,Enterprise,Negotiation,Inbound,3.06,2024-11-21,,84072.04,7006.0,84072.04,EMEA-Enterprise-3
OPP-111,EMEA,Enterprise,Closed Lost,Marketing Campaign,7.05,2023-10-03,2024-01-25,74511.95,6209.33,74511.95,EMEA-Enterprise-1
OPP-112,EMEA,Enterprise,Negotiation,Marketing Campaign,2.63,2024-08-22,2025-11-04,68230.05,5685.84,68230.05,EMEA-Enterprise-2
OPP-113,EMEA,Enterprise,Proposal Sent,Outbound,3.89,2023-04-18,,98143.31,8178.61,98143.31,EMEA-Enterprise-1
OPP-114,EMEA,Enterprise,Negotiation,Inbound,9.51,2024-07-17,2023-07-31,59788.22,4982.35,59788.22,EMEA-Enterprise-1
OPP-115,EMEA,Enterprise,Proposal Sent,Marketing Campaign,4.64,2024-06-10,,58871.03,4905.92,58871.03,EMEA-Enterprise-3
OPP-116,EMEA,Enterprise,Closed Won,Outbound,1.49,2024-06-14,2025-11-17,40069.06,3339.09,40069.06,EMEA-Enterprise-2
OPP-117,EMEA,Enterprise,Negotiation,Inbound,5.94,2023-10-22,2025-10-20,77524.52,6460.38,77524.52,EMEA-Enterprise-3
OPP-118,EMEA,Enterprise,Closed Lost,Partner,3.15,2023-06-12,2023-03-01,47285.57,3940.46,47285.57,EMEA-Enterprise-1
OPP-119,EMEA,Enterprise,Qualified,Marketing Campaign,9.22,2024-04-17,,73135.08,6094.59,73135.08,EMEA-Enterprise-2
OPP-120,EMEA,Enterprise,Qualified,Marketing Campaign,3.63,2024-12-23,2025-10-16,78862.58,6571.88,78862.58,EMEA-Enterprise-3
OPP-121,EMEA,Enterprise,Qualified,Outbound,4.45,2024-09-05,2023-11-07,98814.68,8234.56,98814.68,EMEA-Enterprise-2
OPP-122,EMEA,Enterprise,Qualified,Event,4.73,2024-06-03,2023-02-06,91841.62,7653.47,91841.62,EMEA-Enterprise-3
OPP-123,EMEA,Enterprise,Qualified,Outbound,9.99,2024-05-16,,56970.34,4747.53,56970.34,EMEA-Enterprise-3
OPP-124,EMEA,Enterprise,Proposal Sent,Inbound,7.87,2024-01-22,2024-11-21,66792.84,5566.07,66792.84,EMEA-Enterprise-1
OPP-125,EMEA,Enterprise,Closed Lost,Inbound,4.45,2024-02-25,2025-09-26,92176.1,7681.34,92176.1,EMEA-Enterprise-1
OPP-126,EMEA,Enterprise,Closed Won,Outbound,6.97,2024-10-29,,82313.67,6859.47,82313.67,EMEA-Enterprise-3
OPP-127,EMEA,Enterprise,Qualified,Outbound,6.31,2023-04-13,,69719.72,5809.98,69719.72,EMEA-Enterprise-3
OPP-128,EMEA,Enterprise,Proposal Sent,Outbound,7.5,2024-02-24,,66418.37,5534.86,66418.37,EMEA-Enterprise-1
OPP-129,EMEA,Enterprise,Qualified,Event,3.39,2024-09-30,2023-07-15,98197.41,8183.12,98197.41,EMEA-Enterprise-3
OPP-130,EMEA,Enterprise,Closed Won,Event,4.42,2023-11-21,2025-10-27,91105.92,7592.16,91105.92,EMEA-Enterprise-3
OPP-131,EMEA,Enterprise,Qualified,Inbound,6.68,2023-10-22,,92342.98,7695.25,92342.98,EMEA-Enterprise-2
OPP-132,EMEA,Enterprise,Proposal Sent,Inbound,6.7,2023-04-13,2024-10-06,84805.98,7067.16,84805.98,EMEA-Enterprise-2
OPP-133,EMEA,Enterprise,Qualified,Event,3.64,2024-01-19,2024-06-15,94205.44,7850.45,94205.44,EMEA-Enterprise-2
OPP-134,EMEA,Enterprise,Proposal Sent,Event,2.53,2023-03-22,2025-03-25,71869.98,5989.16,71869.98,EMEA-Enterprise-3
OPP-135,EMEA,Enterprise,Qualified,Marketing Campaign,2.29,2024-04-17,2025-08-30,77182.62,6431.88,77182.62,EMEA-Enterprise-3
OPP-136,EMEA,Enterprise,Qualified,Event,9.11,2024-11-24,2023-07-02,55319.6,4609.97,55319.6,EMEA-Enterprise-3
OPP-137,EMEA,Enterprise,Proposal Sent,Outbound,6.75,2024-03-10,2025-08-24,66503.79,5541.98,66503.79,EMEA-Enterprise-1
OPP-138,EMEA,Enterprise,Qualified,Outbound,5.35,2023-08-31,2025-02-05,90718.24,7559.85,90718.24,EMEA-Enterprise-3
OPP-139,EMEA,Enterprise,Closed Lost,Inbound,9.8,2024-11-05,2023-02-17,74488.72,6207.39,74488.72,EMEA-Enterprise-2
OPP-140,EMEA,Enterprise,Negotiation,Partner,1.44,2024-09-12,,73955.74,6162.98,73955.74,EMEA-Enterprise-3
OPP-141,EMEA,Enterprise,Closed Won,Event,3.07,2023-12-27,2024-02-25,89970.33,7497.53,89970.33,EMEA-Enterprise-1
OPP-142,EMEA,Enterprise,Negotiation,Partner,6.93,2023-05-21,2023-04-22,77253.47,6437.79,77253.47,EMEA-Enterprise-1
OPP-143,EMEA,Enterprise,Proposal Sent,Outbound,7.59,2023-04-03,,58535.97,4878.0,58535.97,EMEA-Enterprise-1
OPP-144,EMEA,Enterprise,Proposal Sent,Inbound,8.08,2024-01-10,2024-08-12,59603.15,4966.93,59603.15,EMEA-Enterprise-2
OPP-145,EMEA,Enterprise,Qualified,Event,5.34,2023-10-30,,89828.36,7485.7,89828.36,EMEA-Enterprise-2
OPP-146,EMEA,Enterprise,Qualified,Marketing Campaign,2.27,2023-08-20,,60322.92,5026.91,60322.92,EMEA-Enterprise-3
OPP-147,EMEA,Enterprise,Closed Lost,Marketing Campaign,8.24,2024-01-10,2025-04-19,83453.0,6954.42,83453.0,EMEA-Enterprise-3
OPP-148,EMEA,Enterprise,Proposal Sent,Outbound,7.06,2024-11-19,2025-03-22,40835.12,3402.93,40835.12,EMEA-Enterprise-3
OPP-149,EMEA,Enterprise,Closed Won,Inbound,3.1,2023-01-26,2024-12-03,89345.04,7445.42,89345.04,EMEA-Enterprise-1
OPP-150,EMEA,Enterprise,Qualified,Inbound,8.41,2024-12-18,2025-05-17,94915.35,7909.61,94915.35,EMEA-Enterprise-3
OPP-151,EMEA,Enterprise,Qualified,Inbound,9.96,2023-04-29,2023-11-05,47000.56,3916.71,47000.56,EMEA-Enterprise-1
OPP-152,EMEA,Enterprise,Proposal Sent,Marketing Campaign,7.27,2024-07-07,2023-12-14,63318.75,5276.56,63318.75,EMEA-Enterprise-1
OPP-153,EMEA,Enterprise,Negotiation,Event,6.54,2023-10-14,2025-02-28,93124.83,7760.4,93124.83,EMEA-Enterprise-3
OPP-154,EMEA,Enterprise,Proposal Sent,Inbound,4.26,2024-12-03,2025-02-04,53036.18,4419.68,53036.18,EMEA-Enterprise-2
OPP-155,EMEA,Enterprise,Qualified,Marketing Campaign,9.54,2024-04-10,2024-04-10,43633.01,3636.08,43633.01,EMEA-Enterprise-2
OPP-156,EMEA,Enterprise,Proposal Sent,Inbound,8.08,2023-09-07,,78502.27,6541.86,78502.27,EMEA-Enterprise-2
OPP-157,EMEA,Enterprise,Qualified,Event,5.99,2024-08-23,2024-05-23,87218.69,7268.22,87218.69,EMEA-Enterprise-2
OPP-158,EMEA,Enterprise,Qualified,Marketing Campaign,1.03,2023-05-29,,59713.57,4976.13,59713.57,EMEA-Enterprise-3
OPP-159,EMEA,Enterprise,Negotiation,Inbound,8.8,2023-05-15,2024-06-02,72412.93,6034.41,72412.93,EMEA-Enterprise-1
OPP-160,EMEA,Enterprise,Qualified,Inbound,2.14,2024-03-07,2023-06-11,75331.18,6277.6,75331.18,EMEA-Enterprise-1
OPP-161,EMEA,Enterprise,Negotiation,Outbound,1.98,2024-05-30,2023-04-30,68574.76,5714.56,68574.76,EMEA-Enterprise-1
OPP-162,EMEA,Enterprise,Closed Won,Partner,3.71,2024-10-20,,83634.58,6969.55,83634.58,EMEA-Enterprise-2
OPP-163,EMEA,Enterprise,Proposal Sent,Outbound,7.17,2024-05-17,,43649.52,3637.46,43649.52,EMEA-Enterprise-1
OPP-164,EMEA,Enterprise,Closed Won,Inbound,2.34,2023-05-10,2024-11-27,66613.74,5551.15,66613.74,EMEA-Enterprise-2
OPP-165,EMEA,Enterprise,Proposal Sent,Inbound,5.55,2024-03-16,2023-09-23,62854.26,5237.86,62854.26,EMEA-Enterprise-2
OPP-166,EMEA,Enterprise,Negotiation,Event,7.49,2023-08-09,2024-05-13,91167.56,7597.3,91167.56,EMEA-Enterprise-1
OPP-167,EMEA,Enterprise,Closed Won,Outbound,7.57,2023-11-17,2024-07-07,64828.81,5402.4,64828.81,EMEA-Enterprise-3
OPP-168,EMEA,Enterprise,Qualified,Marketing Campaign,1.6,2023-03-29,2023-08-17,62458.06,5204.84,62458.06,EMEA-Enterprise-2
OPP-169,EMEA,Enterprise,Proposal Sent,Inbound,1.54,2024-07-29,2023-10-09,84675.34,7056.28,84675.34,EMEA-Enterprise-2
OPP-170,EMEA,Enterprise,Closed Won,Marketing Campaign,4.81,2023-02-22,,64648.52,5387.38,64648.52,EMEA-Enterprise-2
OPP-171,EMEA,Enterprise,Proposal Sent,Outbound,2.91,2024-11-03,2023-09-10,76024.61,6335.38,76024.61,EMEA-Enterprise-3
OPP-172,EMEA,Enterprise,Proposal Sent,Inbound,3.51,2023-08-20,,61006.84,5083.9,61006.84,EMEA-Enterprise-3
OPP-173,EMEA,Enterprise,Closed Lost,Event,6.52,2024-10-20,2024-08-01,90709.31,7559.11,90709.31,EMEA-Enterprise-2
OPP-174,EMEA,Enterprise,Qualified,Event,9.29,2023-12-26,2023-11-21,41737.19,3478.1,41737.19,EMEA-Enterprise-2
OPP-175,EMEA,Enterprise,Proposal Sent,Inbound,6.7,2023-02-01,2024-04-16,73979.27,6164.94,73979.27,EMEA-Enterprise-3
OPP-176,EMEA,Enterprise,Proposal Sent,Inbound,3.8,2023-11-29,,62571.66,5214.31,62571.66,EMEA-Enterprise-2
OPP-177,EMEA,Enterprise,Qualified,Inbound,2.42,2024-09-24,2023-07-18,74055.61,6171.3,74055.61,EMEA-Enterprise-1
OPP-178,EMEA,Enterprise,Negotiation,Outbound,4.98,2023-10-07,2025-12-16,56326.17,4693.85,56326.17,EMEA-Enterprise-2
OPP-179,EMEA,Enterprise,Proposal Sent,Inbound,7.11,2024-05-13,2024-10-24,46829.05,3902.42,46829.05,EMEA-Enterprise-3
OPP-180,EMEA,Enterprise,Proposal Sent,Outbound,1.07,2023-11-05,,42725.04,3560.42,42725.04,EMEA-Enterprise-3
OPP-181,EMEA,Enterprise,Negotiation,Inbound,2.08,2024-05-24,,86040.97,7170.08,86040.97,EMEA-Enterprise-1
OPP-182,EMEA,Enterprise,Proposal Sent,Partner,5.5,2024-11-15,,50541.69,4211.81,50541.69,EMEA-Enterprise-2
OPP-183,EMEA,Enterprise,Closed Won,Inbound,1.17,2023-03-21,,44324.53,3693.71,44324.53,EMEA-Enterprise-2
OPP-184,EMEA,Enterprise,Proposal Sent,Partner,4.76,2023-04-28,2024-11-27,74545.55,6212.13,74545.55,EMEA-Enterprise-1
OPP-185,EMEA,Enterprise,Closed Won,Outbound,7.21,2024-01-06,2023-09-05,50312.39,4192.7,50312.39,EMEA-Enterprise-3
OPP-186,EMEA,Enterprise,Proposal Sent,Outbound,4.56,2023-11-14,,54598.99,4549.92,54598.99,EMEA-Enterprise-3
OPP-187,EMEA,Enterprise,Negotiation,Inbound,6.7,2024-06-27,2025-01-16,53294.32,4441.19,53294.32,EMEA-Enterprise-3
OPP-188,EMEA,Enterprise,Closed Lost,Partner,2.33,2023-04-16,2024-03-11,61065.98,5088.83,61065.98,EMEA-Enterprise-3
OPP-189,EMEA,Enterprise,Qualified,Event,1.68,2024-10-05,2025-08-08,50409.94,4200.83,50409.94,EMEA-Enterprise-1
OPP-190,EMEA,Enterprise,Closed Won,Partner,9.88,2023-11-27,,80868.01,6739.0,80868.01,EMEA-Enterprise-3
